temperature,humidity,moisture,soil_type,crop_type,nitrogen,potassium,phosphorous,fertilizer_name
26,52,38,sandy,maize,37,0,0,urea
29,52,45,loamy,sugarcane,12,0,36,dap
34,65,62,black,cotton,7,9,30,14-35-14
32,62,34,red,tobacco,22,0,20,28-28
28,54,46,clayey,paddy,35,0,0,urea
26,52,35,sandy,barley,12,10,13,17-17-17
25,50,64,red,cotton,9,0,10,20-20
33,64,50,loamy,wheat,41,0,0,urea
30,60,42,sandy,millets,21,0,18,28-28
29,58,33,black,oil seeds,9,7,30,14-35-14
27,54,28,clayey,pulses,13,0,40,dap
31,62,48,sandy,maize,14,15,12,17-17-17
25,50,65,loamy,cotton,36,0,0,urea
32,62,41,clayey,paddy,24,0,22,28-28
26,52,31,red,ground nuts,14,0,41,dap
31,62,49,black,sugarcane,10,13,14,17-17-17
33,64,34,clayey,pulses,38,0,0,urea
25,50,39,sandy,barley,21,0,19,28-28
28,54,65,black,cotton,39,0,0,urea
29,58,52,loamy,wheat,13,0,36,dap
30,60,44,sandy,millets,10,0,9,20-20
34,65,53,loamy,sugarcane,12,14,12,17-17-17
35,68,33,red,tobacco,11,0,37,dap
28,54,37,black,millets,36,0,0,urea
33,64,39,clayey,paddy,13,0,10,20-20
26,52,44,sandy,maize,23,0,20,28-28
30,60,63,red,cotton,9,9,29,14-35-14
32,62,30,loamy,sugarcane,38,0,0,urea
37,70,32,black,oil seeds,12,0,39,dap
26,52,36,clayey,pulses,14,0,13,20-20
29,58,40,red,ground nuts,24,0,23,28-28
30,60,27,loamy,sugarcane,12,0,40,dap
34,65,38,clayey,paddy,39,0,0,urea
36,68,38,sandy,barley,7,9,30,14-35-14
26,52,48,loamy,wheat,23,0,19,28-28
28,54,35,black,millets,41,0,0,urea
30,60,61,loamy,cotton,8,10,31,14-35-14
37,70,37,clayey,paddy,12,0,41,dap
25,50,26,red,ground nuts,15,14,11,17-17-17
29,58,34,sandy,millets,15,0,37,dap
27,54,30,clayey,pulses,13,0,13,20-20
30,60,58,loamy,sugarcane,10,7,32,14-35-14
