crop,market,state,price_per_quintal,last_updated
rice,dehradun,uttarakhand,3200,2026-02-01
wheat,delhi,delhi,2450,2026-02-01
maize,lucknow,uttar pradesh,2100,2026-02-01
cotton,hisar,haryana,7200,2026-02-01
sugarcane,saharanpur,uttar pradesh,340,2026-02-01
gram,jaipur,rajasthan,5200,2026-02-01
mustard,alwar,rajasthan,5800,2026-02-01
barley,meerut,uttar pradesh,1900,2026-02-01
groundnut,ahmedabad,gujarat,6100,2026-02-01
soybean,indore,madhya pradesh,4600,2026-02-01
sunflower,hubli,karnataka,5400,2026-02-01
potato,agra,uttar pradesh,1200,2026-02-01
tomato,nashik,maharashtra,1800,2026-02-01
onion,lasalgaon,maharashtra,2200,2026-02-01
chilli,guntur,andhra pradesh,7800,2026-02-01
